name,date,close,open,high,low,volume
UPCOMINDEX,29-05-2025,98.62,98.63,98.92,98.2,44987119
UPCOMINDEX,30-05-2025,98.49,98.61,98.95,98.17,73754113
UPCOMINDEX,02-06-2025,98.36,98.6,99.09,98.18,38271586
UPCOMINDEX,03-06-2025,99.32,98.78,99.58,98.36,61005443
UPCOMINDEX,04-06-2025,99.01,99.45,99.78,98.69,52277854
UPCOMINDEX,05-06-2025,98.87,99.41,99.66,98.56,48291214
UPCOMINDEX,06-06-2025,98.89,98.9,99.61,98.54,56380305
UPCOMINDEX,09-06-2025,98.19,98.86,98.99,97.63,37239120
UPCOMINDEX,10-06-2025,98.19,98.11,98.59,97.95,30899660
UPCOMINDEX,11-06-2025,98.04,98.34,98.6,97.85,33448908
UPCOMINDEX,12-06-2025,98.16,97.81,98.45,97.81,33359306
UPCOMINDEX,13-06-2025,97.54,98.14,98.31,97.49,75184227
UPCOMINDEX,16-06-2025,98.1,97.63,98.51,97.5,38838111
UPCOMINDEX,17-06-2025,98.87,98.24,99.24,98.1,43013453
UPCOMINDEX,18-06-2025,99.31,98.79,99.52,98.67,35490722
UPCOMINDEX,19-06-2025,99.13,99.39,99.53,98.44,27552865
UPCOMINDEX,20-06-2025,99.18,98.99,99.54,98.87,59678956
UPCOMINDEX,23-06-2025,99.02,99.18,99.28,98.86,36390438
UPCOMINDEX,24-06-2025,99.34,99.02,99.98,98.82,37788112
UPCOMINDEX,25-06-2025,99.94,99.19,100.21,99.19,37307456
UPCOMINDEX,26-06-2025,100.06,99.97,100.51,99.52,28074743
UPCOMINDEX,27-06-2025,100.62,100.66,101.08,100.06,51639532
UPCOMINDEX,30-06-2025,100.84,100.88,101.28,100.62,29486383
UPCOMINDEX,01-07-2025,100.72,100.89,101.43,100.46,32177098
UPCOMINDEX,02-07-2025,100.61,100.77,101.02,100.37,37663496
UPCOMINDEX,03-07-2025,100.86,100.67,101.25,100.32,46365656
UPCOMINDEX,04-07-2025,101.17,100.96,101.69,100.79,55218887
UPCOMINDEX,07-07-2025,101.61,101.22,101.95,101.17,49547401
UPCOMINDEX,08-07-2025,101.96,101.75,102.27,101.61,68184224
UPCOMINDEX,09-07-2025,102.5,102.09,103,101.96,69678444
UPCOMINDEX,10-07-2025,102.28,102.56,102.77,102.12,52209826
UPCOMINDEX,11-07-2025,102.72,102.44,103.14,102.21,96931352
UPCOMINDEX,14-07-2025,102.67,102.82,103.16,102.32,50631945
UPCOMINDEX,15-07-2025,103.03,102.87,103.31,102.66,75335591
UPCOMINDEX,16-07-2025,103.08,103.06,103.77,102.9,61087409
UPCOMINDEX,17-07-2025,104.21,103.42,104.45,103.08,98663003
UPCOMINDEX,18-07-2025,104.74,104.55,105.2,104.09,116073558
UPCOMINDEX,21-07-2025,104.27,104.9,105.43,103.92,79507476
UPCOMINDEX,22-07-2025,104.02,104.12,104.59,103.76,66522777
UPCOMINDEX,23-07-2025,104.8,104.37,105.37,104.02,81559048
UPCOMINDEX,24-07-2025,105.16,105.04,105.71,104.51,72542675
UPCOMINDEX,25-07-2025,105.77,105.33,106.18,105.16,129513435
UPCOMINDEX,28-07-2025,106.94,106.08,107.71,105.77,113980967
UPCOMINDEX,29-07-2025,106.07,107.35,107.97,104.45,150114892
UPCOMINDEX,30-07-2025,105.11,105.26,106.07,104.56,84138069
UPCOMINDEX,31-07-2025,105.79,106.02,106.7,105.11,105715141
UPCOMINDEX,01-08-2025,106.46,106.26,107.14,105.79,104312491
UPCOMINDEX,04-08-2025,107.16,106.45,107.78,106.37,85984438
UPCOMINDEX,05-08-2025,107.5,107.36,108.77,106.12,153592478
UPCOMINDEX,06-08-2025,107.46,107.4,108.07,107.03,75049221
UPCOMINDEX,07-08-2025,107.92,107.95,108.48,107.46,82253354
UPCOMINDEX,08-08-2025,108.54,108.19,109.23,107.92,140076136
UPCOMINDEX,11-08-2025,109.25,109.04,109.69,108.54,79951992
UPCOMINDEX,12-08-2025,109.2,109.35,109.94,109.1,88779638
UPCOMINDEX,13-08-2025,109.42,109.55,110.04,108.79,117703538
UPCOMINDEX,14-08-2025,109.95,109.72,110.29,109.42,99086962
UPCOMINDEX,15-08-2025,109.61,110.2,110.7,109.07,126532471
UPCOMINDEX,18-08-2025,108.97,109.59,109.8,108.74,77212220
UPCOMINDEX,19-08-2025,109.78,108.81,110.25,108.79,102545241
UPCOMINDEX,20-08-2025,109.68,109.92,110.91,108.68,121228304
UPCOMINDEX,21-08-2025,110.58,109.89,111.54,109.68,95482113
UPCOMINDEX,22-08-2025,109.26,110.69,111.02,108.33,127612953
UPCOMINDEX,25-08-2025,108.58,109.36,109.96,107.53,75242974
UPCOMINDEX,26-08-2025,108.84,108.21,109.71,108.18,49314144
UPCOMINDEX,27-08-2025,109.94,109.44,110.42,108.84,48269152
UPCOMINDEX,28-08-2025,110.62,110.04,111.05,109.94,49295587
UPCOMINDEX,29-08-2025,111,111.02,111.73,110.62,92784453
UPCOMINDEX,03-09-2025,111.05,111.24,111.65,110.74,59412898
UPCOMINDEX,04-09-2025,111.85,111.42,112.29,111.05,65969619
