Ticker,MARKETCAP,NMVOLUME_AVG_CR_10D,PRICE_HIGHEST_CR_52W,PRICE_LOWEST_CR_52W,OUTSTANDING_SHARES,FREEFLOAT,BETA,PRICE_TO_EARNINGS,PRICE_TO_BOOK,DIVIDEND_YIELD,BVPS_CR
MCC,68309898800.0,0.0,13700.0,12500.0,4986124.0,0.6802692676656319,-0.010732759937098432,21.579824208179105,0.926400859614281,0.0,14788.414602404593
MCF,86222704000.0,9055.3,8100.0,7400.0,10777838.0,0.3889871976179267,0.18509639223427568,7.379111596924723,0.6998520539586018,0.08125,11430.98738476121
MCG,149410980000.0,48568.6,3800.0,1600.0,57510000.0,0.7630717802127998,0.7282892153702906,11.19345493016749,1.7890634318620575,0.0,1452.1564488610677
MCH,169315493829600.0,225757.1,181862.0,84625.0,1294460962.0,0.3004601531198263,0.11149862787861259,24.6854799723828,9.845144274696471,0.030864038459818877,13285.737247769546
MCM,3074500000000.0,58699.2,29164.0,24600.0,110000000.0,0.3124208909090909,0.3154497465260719,12.3939567985057,1.3488636873240272,0.07155635062611806,20721.144962727274
MCO,21340430800.0,1495.1,9300.0,4600.0,4103929.0,0.6747865277396369,0.4549279518789646,289.012290101105,0.4004412360671289,0.0,12985.67562889124
MCP,536440023000.0,16120.0,30500.0,26045.0,19868149.0,0.6073771987559028,0.1651240920263617,85.35166125479735,1.9610929857228643,0.013459370834453938,13767.832630357261
MDA,6360000000.0,0.0,8700.0,5300.0,1200000.0,0.7351666666666666,-0.22028861352712314,1.5124447827009762,0.2199616293296416,0.0,24095.111570833335
MDC,205616121600.0,6509.1,12300.0,9600.0,21418346.0,0.8299109557759502,-0.023083880454179556,6.918296794830057,0.6384730694916125,0.07243928618581628,15035.873020680496
MDF,251042425225.0,2390.0,7100.0,4400.0,55113595.0,-0.03562574715004528,0.41232207394920234,26.292708472148814,0.3843462342280546,0.0003983390453242065,11851.293428563315
MDG,374789550300.0,8820.0,44972.0,11993.0,10324781.0,0.2405580441455259,0.06884686644578421,5.664557402882076,1.9038367435404104,0.0,19066.76090960186
MEC,24735068820.0,6650.0,4800.0,2800.0,8353620.0,0.21783705746730161,0.18449682154040403,,,0.0,-31063.28373351912
MED,228344000000.0,10.2,27127.0,18400.0,12410000.0,0.44482683319903304,-0.05615791594404828,11.662365666762154,0.6771008675895241,0.015279468223382265,27174.680879532636
MEF,8580761700.0,10.0,2100.0,800.0,4086077.0,0.5522563573814199,0.2037749084699981,0.19207835142867535,0.03635515030045044,0.0,57763.480074898245
MEL,114000000000.0,867.2,8400.0,5800.0,15000000.0,0.39511833333333335,0.017184860408533936,10.452163696832393,0.4201848307370399,0.0,18087.278369066666
MES,186000000000.0,0.0,10000.0,10000.0,18600000.0,0.9896182795698925,0.0,786.5820037725741,1.139844122501447,0.0,8773.12941532258
MFS,246554470932.0,8269.1,49100.0,32100.0,7062979.0,0.6168087148496406,0.5395858626390908,15.393388566661116,1.5017556985338192,0.06901036114933282,23244.792767612646
MGC,131220000000.0,3295.5,20787.0,10900.0,10800000.0,0.9909481481481481,0.7415520545856595,17.960251101512384,1.134084077162797,0.012317483798201493,10713.491393333334
MGG,226790474400.0,1266.5,28100.0,21841.0,8999622.0,0.24932780510114758,0.01289031804018814,7.130174605923836,0.8558252747847972,0.05952380952380952,29445.262651698038
MGR,98000000000.0,291.1,8000.0,3600.0,20000000.0,0.171335,0.26651289591255417,,0.7855617842066112,0.0,6237.5743048
MH3,674400000000.0,366.0,32000.0,26100.0,24000000.0,0.965645875,0.22043979911837477,15.512018164521011,1.1822105931094358,0.0573522922034401,23769.03080025
MHC,414328166940.0,26451.2,15800.0,7890.0,43476198.0,0.36486110165898167,0.7845245572877312,2.310621219363397,0.6438466623302272,0.0,14801.660950619464
MHL,17922045900.0,0.0,3300.0,3300.0,5430923.0,0.3544814194587225,0.0,,2.2102838527544453,0.0,1493.0209058386577
MIC,100005106500.0,3469.2,20700.0,10257.0,8547445.0,0.32967542846217607,0.47241373180278967,68.77953317629327,1.19218036422778,0.0,9813.951270350379
MIE,1135932000000.0,0.0,9400.0,4000.0,141991500.0,0.9998795702559661,0.21296137195659276,75.96287112510818,0.800468431532347,0.0,9994.148032403347
MIG,3733036121950.0,138598.4,20300.0,15029.0,211503463.0,0.1344231465373217,0.5243717768995135,11.428029675762406,1.3674351745138096,0.026786194657223653,12907.376034315806
MIM,14321412000.0,0.0,4200.0,4200.0,3409860.0,0.3576965036687723,0.0,,,,3907.252117682251
MKP,656544186243.0,4165.1,40400.0,23400.0,25268221.0,0.3293373053261414,0.18363043116416286,33.892791281408996,0.5165164863184651,0.01924335142208367,50304.29945266032
MKV,88500000000.0,1823.8,26400.0,8900.0,5000000.0,0.99992,-0.18188005712194674,5.534088251585207,0.8421760756422632,0.0,21016.9826856
MLC,85091970000.0,0.0,22441.0,20400.0,4171175.0,0.3819758221604224,0.03798199095294659,3.5837546215994514,1.0373807748314963,0.07975864566303965,19664.910411814417
MLS,81000000000.0,1092.2,26800.0,17800.0,4000000.0,0.486125,0.3083256155959247,2.3034069758554003,1.0494122968443391,0.0,19296.51487875
MML,10931317795818.0,51604.5,44800.0,27300.0,340316858.0,0.08292423468484185,0.9258730395994775,19.25557231558257,2.159725605320171,0.0,14872.72268332355
MNB,586000000000.0,50.2,32600.0,23300.0,20000000.0,0.24485755,-0.09445361789568915,3.603999354292494,1.074629728299117,0.06825938566552901,27265.2051478
MND,24139225000.0,10.0,11000.0,9300.0,2194475.0,0.16875061233324598,-0.0662233922831359,7.518553002027353,0.9381938421144359,0.06818181818181818,11724.655935930006
MPC,6352867363500.0,50362.0,18800.0,10078.0,400938300.0,0.1890565971391389,0.580802436445257,12.136054344439241,1.2165744970901704,0.06709896755063899,13024.274335766875
MPT,11975014800.0,114765.3,800.0,500.0,17107164.0,1.0,-0.07937738800567114,,0.07215913704353444,0.0,9700.781199443694
MPY,82930500000.0,0.2,14200.0,5900.0,6143000.0,0.4737538661891584,0.07772633375941115,8.711571981432522,1.0975640094684265,0.044444444444444446,12299.966000651148
MQB,20583780000.0,0.0,8600.0,5600.0,3675675.0,0.16021547062784386,0.06554040829731426,6.1146509811827,0.3693765588655603,0.06785714285714285,15160.680518544214
MQN,157342188240.0,918.0,20200.0,17000.0,8212014.0,0.9017914484802388,-0.11866131669259385,2.8094434195391544,0.5073312205726336,0.0,37766.25451588368
MRF,156224556000.0,1271.7,26900.0,15000.0,6792372.0,0.5635969778281068,-0.20684740936253393,118.13498200615925,2.077899129460328,0.0,11068.872244040815
MSB,42120000000000.0,12114150.7,15416.0,9416.0,3120000000.0,0.891309858974359,0.9443604848216941,7.166749955463039,0.9577534977614786,0.0,14095.484935897435
MSH,4056382771000.0,231464.2,40500.0,27698.0,112521020.0,0.5521002653548643,0.47192083417587855,6.467124520447929,2.0293288074094935,0.11090736572404203,17764.494284205743
MSN,115962419651400.0,6494044.6,88500.0,62000.0,1445915457.0,0.5101566080014593,0.8878408961215293,23.376692265330806,3.280579039296986,0.0,24446.903744525087
MSR,44257139884800.0,1868457.2,52900.0,17000.0,1099829520.0,0.047380054865230385,1.230332535157936,57.4783427774821,3.479784456030857,0.0,11563.934636888089
MST,942915026000.0,1736062.9,9000.0,4924.0,113604220.0,0.9665345178198486,0.6772646834623823,40.91452218167001,0.7999944039476898,0.0,10375.07257431106
MTA,1392386358195.0,5074.8,19600.0,12100.0,110113591.0,0.999643095828198,0.9056292903543482,42.696288157729235,1.0196449163862298,0.01641208602160094,12401.376005301652
MTB,61526938200.0,0.0,9800.0,9800.0,6278259.0,0.9185283690908578,0.0,117.95046051144324,1.2735636128978538,0.0,7694.9434647407825
MTC,2157570000.0,10.0,3700.0,1200.0,1797975.0,0.4719104188545943,-0.1771113421524741,,0.1479062151026758,0.0,8113.249326047358
MTG,89138500000.0,3662.6,11000.0,6600.0,10450000.0,0.5046784688995215,0.0974669292371404,20.377538782899705,0.740072892647837,0.11775124160716188,11525.891685454546
MTH,126879615000.0,3230.8,30400.0,16580.0,4787910.0,0.45138024733129906,0.15163171005438164,8.313307838275449,0.9136530998305041,0.07547169811320754,29004.4438145245
MTL,36600000000.0,1392.8,7200.0,5300.0,6000000.0,0.8999666666666667,0.47946270327633456,35.42746073315113,0.5936593615312655,0.0,10275.252771666666
MTP,104311284000.0,1375.8,15043.0,10400.0,7450806.0,0.5911090556302366,0.02644253390753533,5.7526140743938035,0.8628807932339511,0.07142857142857142,16224.720853421764
MTS,150000000000.0,170.1,10900.0,8100.0,15000000.0,0.82088,-0.04262378980913012,5.767950858494983,0.7848026003150099,0.07,12742.0576792
MTV,76140000000.0,361.0,17500.0,12800.0,5400000.0,0.8489424074074075,-0.18734975268475182,7.148707961563715,0.7654242852384628,0.04964539007092199,18421.155785
MTX,8256000000.0,0.0,12800.0,12800.0,645000.0,0.6558527131782945,0.0,2.072770645535196,0.7339140614015423,0.09054324127906976,17440.73410387597
MVB,1743000000000.0,160.2,21338.0,15300.0,105000000.0,0.9987885714285715,0.27658903812297253,8.75011388918943,0.9533254932945802,0.060230374928284564,17412.73061169524
MVC,1391700000000.0,47770.1,18100.0,8755.0,100000000.0,0.34717106,0.47749909509579924,6.246256073993957,0.9570599088781891,0.032334554860961415,14541.40944668
MVN,69759387980000.0,7303.2,78100.0,41500.0,1200988000.0,0.005603969398528545,0.6645003015916154,29.726040927911075,4.949238533053299,0.0,11736.148826143975
MWG,124228630553400.0,5824748.3,93700.0,59444.0,1468423529.0,0.6612084854244408,1.1468696720837337,15.145724196993617,3.5178429575732846,0.011901095233956407,24048.827938117982
MZG,1499206594232.0,232976.0,19400.0,6780.0,116506574.0,0.6169239600161962,0.19597616402216006,12.644666666026446,1.008813059424338,0.0,12755.584277767879
NAB,25529414822400.0,2318882.1,17000.0,12100.0,1715686480.0,0.858916836017732,0.5474305982996047,5.654868952086457,1.035733579783802,1.801843102163028e-06,14366.62891928833
NAC,3685500000.0,0.0,1300.0,900.0,2835000.0,0.2817541446208113,0.07685570632730505,0.41666527500314077,0.09623983818377596,1.5384615384615385,13507.91963633157
NAF,3056040500400.0,561474.0,51000.0,19364.0,61181992.0,0.27843568715999084,-0.054014862450587606,14.889070503827385,3.903410745761418,0.0043896800445688226,12796.501125134992
NAG,335996027100.0,277105.1,16900.0,7100.0,38620233.0,0.6513166737592353,0.5411723210530709,10.705375785815589,0.5043776403527266,0.0,17248.98033528177
NAP,287224916000.0,0.0,16000.0,8289.0,26111356.0,0.22366157468038045,0.07726037467428894,10.760381811285123,1.1079735461643432,0.04127195566835852,9928.034868775103
NAS,263600779400.0,160.0,46700.0,28000.0,8315482.0,0.19279900199187952,0.16944406024802872,9.57455320681518,2.398405981290592,0.0,13217.11180145661
NAU,25689993000.0,10.0,23400.0,6286.0,3669999.0,0.17653955764020643,-0.00239657034945262,7.309861606404362,0.15298392994031648,0.044997955585274,45756.43992627791
NAV,127199682000.0,250.0,18897.0,15100.0,7999980.0,0.69637975,0.14718021522656372,8.88254579928023,1.216849335693044,0.11320754716981132,13066.53135570339
NAW,373897215983.0,5910.0,10001.0,8100.0,37385983.0,0.3395632796387887,-0.010922783060976132,18.24917679296741,0.9321685990414444,0.0,10728.74586237307
